"Reaction"	"Enzymes of a reaction"
RXN0-5455	GCQD-1477-MONOMER
D-RIBULOKIN-RXN	""
RXN-17789	GCQD-2473-MONOMER // GCQD-3981-MONOMER
RXN0-1081	GCQD-2666-MONOMER
PRTRANS-RXN	GCQD-1438-MONOMER
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	GCQD-2451-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-11860	GCQD-3699-MONOMER
DEOXYINOPHOSPHOR-RXN	GCQD-4525-MONOMER
RXN0-1342	GCQD-539-MONOMER
RXN0-1132	CPLXCQD-10724 // GCQD-293-MONOMER
QUERCETIN-23-DIOXYGENASE-RXN	GCQD-3524-MONOMER
DIENOYLCOAREDUCT-RXN	GCQD-3176-MONOMER
RXN-18707	GCQD-3553-MONOMER
RXN0-6562	GCQD-1983-MONOMER
RHAMNISOM-RXN	GCQD-4038-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-19312	GCQD-3944-MONOMER // GCQD-3948-MONOMER
RXN0-6727	GCQD-4299-MONOMER
RXN-20429	GCQD-1918-MONOMER
RXN0-7001	GCQD-1902-MONOMER
RXN-10981	""
FORMYLTHFGLUSYNTH-RXN	GCQD-2448-MONOMER
1.1.1.83-RXN	GCQD-1970-MONOMER
RXN-2881	""
RXN0-705	GCQD-3668-MONOMER // GCQD-4328-MONOMER
RXN-11409	""
GALPMUT-RXN	GCQD-1132-MONOMER // GCQD-423-MONOMER
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	GCQD-3970-MONOMER
2OXOGLUTDECARB-RXN	GCQD-876-MONOMER // CPLXCQD-10725
RXN-6601	""
RXN0-7122	GCQD-3948-MONOMER
GLUCOKIN-RXN	GCQD-2506-MONOMER
RXN-19774	GCQD-809-MONOMER
2.6.1.7-RXN	GCQD-1131-MONOMER
RXN-7968	""
RXN0-7250	GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
RXN-11835	GCQD-4155-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
GLUTATHIONE-SYN-RXN	GCQD-3001-MONOMER
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	GCQD-311-MONOMER
RXN-8641	""
RXN0-7341	GCQD-2164-MONOMER
RXN-12065	""
GLYCOGENSYN-RXN	GCQD-3515-MONOMER
RXN-9157	""
RXN0-963	GCQD-3457-MONOMER
RXN-12353	""
GMP-SYN-NH3-RXN	GCQD-2613-MONOMER
3.2.1.21-RXN	GCQD-2269-MONOMER
PROTEIN-TYROSINE-PHOSPHATASE-RXN	GCQD-2806-MONOMER // GCQD-2009-MONOMER // GCQD-1185-MONOMER // GCQD-2175-MONOMER
RXN-12754	""
H2NEOPTERINALDOL-RXN	GCQD-3153-MONOMER
RXN0-1922	GCQD-3163-MONOMER
SUCCINYLDIAMINOPIMTRANS-RXN	GCQD-3445-MONOMER // GCQD-1110-MONOMER
RXN-13142	GCQD-4299-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
HOMOCYSMET-RXN	GCQD-3952-MONOMER
RXN0-2584	GCQD-2687-MONOMER // GCQD-1801-MONOMER
THIAZOLSYN3-RXN	GCQD-2239-MONOMER
RXN-13873	""
RXN0-6480	GCQD-3821-MONOMER
INOSINE-NUCLEOSIDASE-RXN	GCQD-212-MONOMER
RXN0-6484	GCQD-1974-MONOMER // GCQD-1820-MONOMER
2.9.1.1-RXN	GCQD-3681-MONOMER
RXN0-2921	GCQD-2448-MONOMER
RXN0-6482	GCQD-3734-MONOMER
GLUTRNAREDUCT-RXN	GCQD-1385-MONOMER
RXN-14124	GCQD-4350-MONOMER
RXN0-6485	GCQD-1281-MONOMER
KETOBUTFORMLY-RXN	""
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	GCQD-3115-MONOMER
6PFRUCTPHOS-RXN	GCQD-1892-MONOMER // GCQD-4050-MONOMER
RXN-9540	GCQD-1290-MONOMER // GCQD-4341-MONOMER
RXN-9789	GCQD-4126-MONOMER
RXN-14284	GCQD-3503-MONOMER
RXN0-746	GCQD-4369-MONOMER
LUMAZINESYN-RXN	GCQD-549-MONOMER
THIAZOLSYN2-RXN	GCQD-4124-MONOMER
ACETYL-COA-CARBOXYLTRANSFER-RXN	""
RXN-11477	GCQD-356-MONOMER
RXN0-384	GCQD-2036-MONOMER // GCQD-2847-MONOMER
RXN-9518	GCQD-1290-MONOMER // GCQD-4341-MONOMER
