"Reaction"	"Enzymes of a reaction"
RXN0-5462	GCQD-4480-MONOMER // GCQD-2310-MONOMER // GCQD-2799-MONOMER // GCQD-2973-MONOMER // GCQD-4293-MONOMER // GCQD-2617-MONOMER // GCQD-4305-MONOMER // GCQD-2676-MONOMER // GCQD-2673-MONOMER
DADPKIN-RXN	GCQD-2624-MONOMER
RXN-17790	GCQD-2473-MONOMER // GCQD-3981-MONOMER
RXN0-6382	GCQD-3008-MONOMER // GCQD-2847-MONOMER
PSERTRANSAM-RXN	GCQD-1110-MONOMER
DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN	GCQD-4188-MONOMER
RXN-17935	GCQD-3506-MONOMER
RXN0-6487	GCQD-3109-MONOMER
QUINATE-5-DEHYDROGENASE-RXN	GCQD-1861-MONOMER
DIHYDRODIPICSYN-RXN	GCQD-2584-MONOMER
RXN-18708	GCQD-1172-MONOMER
RXN0-6563	GCQD-1073-MONOMER
RHAMNULOKIN-RXN	GCQD-4039-MONOMER
DNA-LIGASE-NAD+-RXN	GCQD-3738-MONOMER // GCQD-2525-MONOMER
RXN-19407	GCQD-963-MONOMER
RXN0-6731	GCQD-3580-MONOMER
ENTMULTI-RXN	CPLXCQD-8835
RXN-2043	GCQD-3613-MONOMER
RXN0-7002	GCQD-1903-MONOMER
RXN-11032	GCQD-2540-MONOMER
FPPSYN-RXN	GCQD-555-MONOMER
RXN-2961	""
RXN0-7066	GCQD-2041-MONOMER
RXN-11410	""
GAPOXNPHOSPHN-RXN	GCQD-1948-MONOMER
2-OCTAPRENYLPHENOL-HYDROX-RXN	GCQD-2962-MONOMER
RXN0-7141	GCQD-553-MONOMER
GLUCONATE-5-DEHYDROGENASE-RXN	GCQD-4395-MONOMER
2.7.1.121-RXN	""
RXN-8037	""
RXN0-7251	GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
RXN-11836	GCQD-1445-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
GLUTCYSLIG-RXN	GCQD-2760-MONOMER
3-DEHYDROQUINATE-DEHYDRATASE-RXN	GCQD-1862-MONOMER
RXN-8642	GCQD-1334-MONOMER
RXN0-7342	GCQD-2168-MONOMER
RXN-12070	GCQD-489-MONOMER
GLYCOLALD-DEHYDROG-RXN	GCQD-1570-MONOMER
RXN-9310	GCQD-2398-MONOMER
RXN0-984	""
RXN-12354	""
GPH-RXN	GCQD-3471-MONOMER // GCQD-516-MONOMER
3.2.1.52-RXN	GCQD-1304-MONOMER
SERINE-O-ACETTRAN-RXN	GCQD-3700-MONOMER
RXN-12816	GCQD-278-MONOMER
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	GCQD-2036-MONOMER
RXN0-1941	GCQD-3110-MONOMER
SUCCORNTRANSAM-RXN	GCQD-1917-MONOMER
RXN-13182	GCQD-4439-MONOMER
HOMOCYSMETB12-RXN	GCQD-4152-MONOMER
RXN0-2601	GCQD-1801-MONOMER // GCQD-865-MONOMER
THIKIN-RXN	GCQD-1303-MONOMER
RXN-13990	GCQD-2021-MONOMER
INOSINEKIN-RXN	GCQD-614-MONOMER
4.3.1.15-RXN	GCQD-2928-MONOMER
RXN0-2941	CPLXCQD-11390
RXN-14126	GCQD-516-MONOMER // GCQD-4350-MONOMER // GCQD-2816-MONOMER
KETOGLUTREDUCT-RXN	GCQD-2968-MONOMER
6PGLUCONDEHYDROG-RXN	""
RXN-14285	GCQD-3503-MONOMER
LXULRU5P-RXN	GCQD-3669-MONOMER // GCQD-4329-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
ACETYLESTERASE-RXN	GCQD-613-MONOMER
RXN0-385	GCQD-2847-MONOMER
UDPMANNACADEHYDROG-RXN	GCQD-3905-MONOMER
RXN-14479	GCQD-736-MONOMER
MANNONOXIDOREDUCT-RXN	GCQD-4454-MONOMER
ADENODEAMIN-RXN	GCQD-1790-MONOMER
RXN0-4342	GCQD-3147-MONOMER
URUR-RXN	GCQD-651-MONOMER
RXN-14524	GCQD-4188-MONOMER
MHPHYDROXY-RXN	GCQD-487-MONOMER
AKBLIG-RXN	GCQD-3710-MONOMER
RXN0-5057	GCQD-3713-MONOMER
RXN-14811	GCQD-1132-MONOMER // GCQD-423-MONOMER
NICONUCADENYLYLTRAN-RXN	GCQD-793-MONOMER
ALTRODEHYDRAT-RXN	GCQD-3186-MONOMER
RXN0-5123	""
RXN-15123	""
OHMETHYLBILANESYN-RXN	GCQD-3924-MONOMER
ARGSUCCINSYN-RXN	GCQD-3265-MONOMER
RXN0-5190	""
RXN-15299	GCQD-4016-MONOMER
PANTOATE-BETA-ALANINE-LIG-RXN	GCQD-310-MONOMER
BADH-RXN	GCQD-454-MONOMER
RXN0-5227	GCQD-2312-MONOMER // GCQD-1367-MONOMER
RXN-16000	GCQD-1696-MONOMER
PHENPRODIOLDEHYDROG-RXN	GCQD-2647-MONOMER
CATAL-RXN	GCQD-3783-MONOMER // GCQD-1901-MONOMER // GCQD-4077-MONOMER
RXN0-5359	GCQD-1518-MONOMER // GCQD-1692-MONOMER // GCQD-1227-MONOMER // GCQD-1648-MONOMER // GCQD-1963-MONOMER // GCQD-2511-MONOMER // GCQD-518-MONOMER // GCQD-2710-MONOMER
RXN-16701	GCQD-2968-MONOMER
RXN-16938	GCQD-2549-MONOMER // GCQD-2888-MONOMER // GCQD-4301-MONOMER
RXN0-5398	GCQD-2301-MONOMER
CTPSYN-RXN	GCQD-2846-MONOMER
RXN-17777	GCQD-2473-MONOMER // GCQD-3981-MONOMER
DAPASYN-RXN	GCQD-939-MONOMER
RXN-17793	GCQD-3981-MONOMER // GCQD-2473-MONOMER
RXN0-6450	""
PTAALT-RXN	GCQD-2430-MONOMER
DEPHOSPHOCOAKIN-RXN	GCQD-281-MONOMER
RXN-17954	CPLXCQD-11365
R11-RXN	GCQD-1863-MONOMER
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	""
RXN-18737	GCQD-2347-MONOMER
RIBAZOLEPHOSPHAT-RXN	""
DTDPDEHYRHAMREDUCT-RXN	GCQD-2154-MONOMER
RXN-19775	GCQD-3600-MONOMER
RXN0-6734	GCQD-4231-MONOMER
RXN-10016	""
ERYTHRON4PDEHYDROG-RXN	GCQD-2453-MONOMER
RXN-20681	GCQD-1491-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN0-7010	GCQD-3197-MONOMER
FUCISOM-RXN	GCQD-2873-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
1.2.99.7-RXN	CPLXCQD-8441
RXN-3482	""
RXN0-7075	GCQD-2489-MONOMER
GCVMULTI-RXN	CPLXCQD-10236
2.1.1.72-RXN	GCQD-3348-MONOMER // GCQD-3473-MONOMER
RXN-7253	GCQD-2639-MONOMER
RXN0-7165	GCQD-1751-MONOMER
GLUCOSAMINE-6-P-DEAMIN-RXN	GCQD-826-MONOMER
2.7.13.3-RXN	GCQD-2262-MONOMER // GCQD-3303-MONOMER // GCQD-2852-MONOMER // GCQD-4137-MONOMER // GCQD-2354-MONOMER // GCQD-2498-MONOMER // GCQD-4244-MONOMER // GCQD-534-MONOMER // GCQD-4540-MONOMER // GCQD-774-MONOMER // GCQD-3490-MONOMER // GCQD-2191-MONOMER
RXN-8315	""
RXN0-7275	GCQD-2347-MONOMER
RXN-11839	GCQD-3259-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
GLUTKIN-RXN	GCQD-424-MONOMER
3-ISOPROPYLMALISOM-RXN	CPLXCQD-7504
RXN-8667	GCQD-4077-MONOMER
RXN0-7345	GCQD-2172-MONOMER
RXN-12073	GCQD-488-MONOMER
GLYCOPHOSPHORYL-RXN	GCQD-3514-MONOMER
RXN-9624	GCQD-590-MONOMER // GCQD-1428-MONOMER // GCQD-631-MONOMER
RXN1-42	GCQD-1597-MONOMER
RXN-12445	GCQD-3979-MONOMER
3.2.2.21-RXN	GCQD-2182-MONOMER
RXN0-1402	""
SIROHEME-FERROCHELAT-RXN	GCQD-3454-MONOMER
RXN-12863	""
H2PTEROATESYNTH-RXN	GCQD-3270-MONOMER
RXN0-2023	GCQD-1331-MONOMER
SULFATE-ADENYLYLTRANS-RXN	CPLXCQD-8509
RXN-13329	""
HOMSUCTRAN-RXN	GCQD-4146-MONOMER
3.5.2.17-RXN	GCQD-2088-MONOMER
RXN0-2606	CPLXCQD-9876 // GCQD-1132-MONOMER // GCQD-423-MONOMER
THREDEHYD-RXN	GCQD-3890-MONOMER // GCQD-3210-MONOMER
RXN-14023	GCQD-3109-MONOMER
ISOCHORSYN-RXN	GCQD-745-MONOMER // GCQD-2400-MONOMER
5-FORMYL-THF-CYCLO-LIGASE-RXN	""
RXN0-299	GCQD-504-MONOMER
RXN-14142	GCQD-516-MONOMER // GCQD-2816-MONOMER // GCQD-617-MONOMER // GCQD-2424-MONOMER // GCQD-4188-MONOMER
L-LACTDEHYDROGFMN-RXN	GCQD-3698-MONOMER
7KAPSYN-RXN	GCQD-941-MONOMER
TRYPTOPHAN-RXN	GCQD-3826-MONOMER
RXN-14325	GCQD-2846-MONOMER
LYSOPHOSPHOLIPASE-RXN	GCQD-631-MONOMER
ACETYLORNTRANSAM-RXN	GCQD-1917-MONOMER // GCQD-3445-MONOMER // GCQD-2735-MONOMER
RXN0-3922	GCQD-1477-MONOMER
UDPSUGARHYDRO-RXN	GCQD-617-MONOMER
RXN-14500	GCQD-1132-MONOMER // GCQD-423-MONOMER
MANNPISOM-RXN	GCQD-1780-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	GCQD-336-MONOMER
RXN0-4461	""
VALINE-PYRUVATE-AMINOTRANSFER-RXN	GCQD-3659-MONOMER
NACGLCTRANS-RXN	GCQD-269-MONOMER
ALARACECAT-RXN	GCQD-1365-MONOMER // GCQD-4186-MONOMER // GCQD-1789-MONOMER // GCQD-3106-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-14815	GCQD-1132-MONOMER // GCQD-423-MONOMER
AMINOBUTDEHYDROG-RXN	GCQD-1601-MONOMER // GCQD-1477-MONOMER
RXN0-5126	GCQD-3716-MONOMER
RXN-15127	""
ORNDECARBOX-RXN	GCQD-840-MONOMER // GCQD-3019-MONOMER
ASNSYNA-RXN	GCQD-3862-MONOMER // GCQD-822-MONOMER
RXN0-5199	GCQD-524-MONOMER // GCQD-4525-MONOMER
RXN-15345	GCQD-1132-MONOMER // GCQD-423-MONOMER
PECTINESTERASE-RXN	""
BETA-PHOSPHOGLUCOMUTASE-RXN	GCQD-1494-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN0-5234	GCQD-2657-MONOMER
RXN-1623	GCQD-3115-MONOMER
PHENYLSERINE-ALDOLASE-RXN	GCQD-1073-MONOMER
CDPKIN-RXN	GCQD-2624-MONOMER
RXN0-5375	GCQD-1567-MONOMER
CHMS-DEHYDROGENASE-RXN	GCQD-4491-MONOMER
RXN0-5390	GCQD-581-MONOMER
RXN-17391	GCQD-2884-MONOMER // GCQD-1368-MONOMER // GCQD-388-MONOMER // GCQD-2773-MONOMER // GCQD-3017-MONOMER // GCQD-4533-MONOMER
PPENTOMUT-RXN	GCQD-4524-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-17780	GCQD-2473-MONOMER // GCQD-3981-MONOMER
RXN0-6256	GCQD-3090-MONOMER // GCQD-2435-MONOMER
DARABKIN-RXN	GCQD-2874-MONOMER
RXN0-6460	GCQD-1214-MONOMER
PYRAZIN-RXN	GCQD-1937-MONOMER
DGTPTRIPHYDRO-RXN	GCQD-337-MONOMER
RXN-17960	GCQD-4226-MONOMER
R165-RXN	""
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN	CPLXCQD-7712
RXN-18999	GCQD-1486-MONOMER
RIBOFLAVINSYNDEAM-RXN	GCQD-548-MONOMER
DTDPKIN-RXN	GCQD-2624-MONOMER
RXN-19793	GCQD-1225-MONOMER
RXN0-6945	GCQD-2627-MONOMER
RXN-10040	GCQD-487-MONOMER
F16ALDOLASE-RXN	GCQD-2232-MONOMER // GCQD-2980-MONOMER
1.1.1.215-RXN	GCQD-3638-MONOMER
RXN-20913	GCQD-777-MONOMER
RXN0-7014	GCQD-4226-MONOMER
RXN-11210	""
FUMHYDR-RXN	GCQD-1778-MONOMER // GCQD-1779-MONOMER // GCQD-4254-MONOMER // GCQD-2984-MONOMER // GCQD-1844-MONOMER
1.5.1.34-RXN	GCQD-2658-MONOMER // GCQD-725-MONOMER
RXN-4122	""
RXN0-7080	""
GDPMANDEHYDRA-RXN	GCQD-2167-MONOMER
2.3.1.118-RXN	GCQD-1621-MONOMER
RXN-7607	GCQD-516-MONOMER // GCQD-3485-MONOMER // GCQD-823-MONOMER // GCQD-4514-MONOMER // GCQD-2816-MONOMER // GCQD-617-MONOMER // GCQD-4188-MONOMER
RXN0-7173	GCQD-558-MONOMER // GCQD-3302-MONOMER
RXN-11667	GCQD-3981-MONOMER // GCQD-2473-MONOMER
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN	GCQD-1132-MONOMER // GCQD-423-MONOMER
2.7.7.60-RXN	GCQD-2819-MONOMER
RXN-8344	GCQD-188-MONOMER
RXN0-7285	GCQD-2911-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-11842	GCQD-238-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
GLUTSEMIALDEHYDROG-RXN	GCQD-425-MONOMER
3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN	GCQD-516-MONOMER
RXN-8770	GCQD-792-MONOMER
RXN0-7349	GCQD-1252-MONOMER
RXN-12107	GCQD-4396-MONOMER
GLYOHMETRANS-RXN	GCQD-2657-MONOMER
RXN-9939	GCQD-1751-MONOMER
RXNCQD-1	GCQD-2149-MONOMER
RXN-12508	GCQD-291-MONOMER // CPLXCQD-10724
GST-RXN	GCQD-2434-MONOMER // GCQD-1803-MONOMER
RXN0-1483	GCQD-3422-MONOMER // GCQD-300-MONOMER
SPERMACTRAN-RXN	GCQD-1751-MONOMER
RXN-12870	""
HEMN-RXN	GCQD-4001-MONOMER
RXN0-2101	CPLXCQD-7747
SUPEROX-DISMUT-RXN	GCQD-1814-MONOMER // GCQD-1824-MONOMER // GCQD-4043-MONOMER
RXN-1346	GCQD-1132-MONOMER // GCQD-423-MONOMER
HYPOXANPRIBOSYLTRAN-RXN	GCQD-418-MONOMER // GCQD-302-MONOMER
RXN0-2622	GCQD-2948-MONOMER
THREONINE-ALDOLASE-RXN	GCQD-1073-MONOMER
RXN-14064	GCQD-4350-MONOMER
ISPH2-RXN	GCQD-211-MONOMER
5.1.3.20-RXN	GCQD-3711-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN0-302	GCQD-2818-MONOMER
TREHALA-RXN	GCQD-1372-MONOMER // GCQD-3601-MONOMER
RXN-14161	GCQD-516-MONOMER // GCQD-617-MONOMER // GCQD-2424-MONOMER // GCQD-4188-MONOMER
LACTALDREDUCT-RXN	GCQD-2865-MONOMER
ACETATE--COA-LIGASE-RXN	GCQD-4202-MONOMER
TYROSINE-AMINOTRANSFERASE-RXN	GCQD-1131-MONOMER // GCQD-4187-MONOMER
RXN-14379	GCQD-4246-MONOMER
MALATE-DEH-RXN	GCQD-3324-MONOMER
ACONITATEDEHYDR-RXN	GCQD-295-MONOMER // GCQD-1453-MONOMER
RXN0-4022	GCQD-2860-MONOMER
URA-PHOSPH-RXN	GCQD-4523-MONOMER
RXN-14505	GCQD-516-MONOMER // GCQD-4188-MONOMER
METHENYLTHFCYCLOHYDRO-RXN	GCQD-665-MONOMER
ADENYL-KIN-RXN	GCQD-611-MONOMER
RXN0-4641	GCQD-2542-MONOMER
XYLISOM-RXN	GCQD-3652-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-14570	CPLXCQD-11415
NAD-SYNTH-NH3-RXN	GCQD-1909-MONOMER
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	GCQD-466-MONOMER // GCQD-4398-MONOMER // GCQD-3109-MONOMER // GCQD-630-MONOMER
RXN0-5101	GCQD-1818-MONOMER
RXN-14883	GCQD-1132-MONOMER // GCQD-423-MONOMER
NQOR-RXN	GCQD-228-MONOMER // GCQD-3831-MONOMER // GCQD-1207-MONOMER
AMP-DEPHOSPHORYLATION-RXN	GCQD-516-MONOMER // GCQD-823-MONOMER // GCQD-4514-MONOMER // GCQD-2816-MONOMER // GCQD-617-MONOMER // GCQD-4188-MONOMER
RXN0-5141	GCQD-384-MONOMER // GCQD-630-MONOMER // GCQD-3109-MONOMER // GCQD-4398-MONOMER // GCQD-466-MONOMER
RXN-15139	""
OXALOACETATE-TAUTOMERASE-RXN	GCQD-1779-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN0-5209	GCQD-4261-MONOMER
RXN-15356	GCQD-1132-MONOMER // GCQD-423-MONOMER
PEPDEPHOS-RXN	GCQD-1845-MONOMER // GCQD-2025-MONOMER
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	GCQD-617-MONOMER
RXN0-5289	GCQD-645-MONOMER // GCQD-3216-MONOMER
RXN-16312	GCQD-2700-MONOMER
PHOSMANMUT-RXN	GCQD-2140-MONOMER // GCQD-2162-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
CARBPSYN-RXN	CPLXCQD-8140
RXN-15294	GCQD-2073-MONOMER
DTDPRHAMSYNTHMULTI-RXN	""
RXN-8001	GCQD-2130-MONOMER
RXN0-1134	GCQD-291-MONOMER // CPLXCQD-10724
ASNSYNB-RXN	GCQD-822-MONOMER
RXN-13163	CPLXCQD-7504
RXN-13403	GCQD-3454-MONOMER
PYRUVDEH-RXN	CPLXCQD-10724
RXN-12440	""
RXN-982	GCQD-3586-MONOMER
RXN-13158	GCQD-253-MONOMER // GCQD-1970-MONOMER
CITLY-RXN	CITRATE-LYASE // CPLXCQD-7968
2.6.1.82-RXN	GCQD-3168-MONOMER
GLUTAMATESYN-RXN	CPLXCQD-9617
RXN0-1141	GCQD-4527-MONOMER
ISOCITDEH-RXN	GCQD-1334-MONOMER
RXN-13179	GCQD-234-MONOMER
RXN0-6491	GCQD-1148-MONOMER
RXN-11496	GCQD-1074-MONOMER
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	CPLXCQD-8213
RXN0-6373	GCQD-301-MONOMER
RXN0-5264	CPLXCQD-7627
DALADEHYDROG-RXN	GCQD-1364-MONOMER
DLACTDEHYDROGFAD-RXN	GCQD-2270-MONOMER
R601-RXN	CPLXCQD-7296
RXN0-5260	GCQD-3511-MONOMER
DIMESULFREDUCT-RXN	CPLXCQD-11407
2.1.1.63-RXN	GCQD-1512-MONOMER // GCQD-2348-MONOMER
RXN-12402	GCQD-3748-MONOMER
