repl,seqtype,line,target_id,est_counts,eff_length,length,tpm,subgroup,mix1.conc.attomols.ul,mix2.conc.attomols.ul,expected.fc.ratio,log2(mix1.over.mix2),dilution,amount.added,molecules_of_seq
rep1,ribo,Ara-1,ERC_00164,0,998,1022,0,C,0.45776367,0.68664551,0.67,-0.58,10,0.761,20978.61915082695
rep1,ribo,Ara-1,ERC_00165,0,848,872,0,D,58.59375,117.1875,0.5,-1,10,0.761,2685263.2623046883
rep1,ribo,Ara-1,ERC_00168,0,1000,1024,0,D,0.45776367,0.91552734,0.5,-1,10,0.761,20978.61915082695
rep1,ribo,Ara-1,ERC_00170,0,999,1023,0,A,14.6484375,3.66210938,4,2,10,0.761,671315.8155761721
rep1,ribo,Ara-1,ERC_00171,4,481,505,0.8244368500826273,B,3750,3750,1,0,10,0.761,171856848.78750005
rep2,ribo,Ara-1,ERC_00002,577,1037,1061,76.5061840588438,D,15000,30000,0.5,-1,10,0.498,449853932.7000001
rep2,ribo,Ara-1,ERC_00003,31,999,1023,4.266735190892195,D,937.5,1875,0.5,-1,10,0.498,28115870.793750007
rep2,ribo,Ara-1,ERC_00004,75,499,523,20.666179725748123,A,7500,1875,4,2,10,0.498,224926966.35000005
rep2,ribo,Ara-1,ERC_00009,72,960,984,10.312423683148312,B,937.5,937.5,1,0,10,0.498,28115870.793750007
rep2,ribo,Ara-1,ERC_00012,0,970,994,0,C,0.11444092,0.17166138,0.67,-0.58,10,0.498,3432.1131949204055
rep2,ribo,Ara-1,ERC_00013,0,784,808,0,D,0.91552734,1.83105469,0.5,-1,10,0.498,27456.904959558007
rep2,ribo,Ara-1,ERC_00014,1,1933,1957,0.07113242754370279,D,3.66210938,7.32421875,0.5,-1,10,0.498,109827.62043803725
rep2,ribo,Ara-1,ERC_00016,0,820,844,0,C,0.22888184,0.34332275,0.67,-0.58,10,0.498,6864.226389840811
rep2,ribo,Ara-1,ERC_00017,0,1112,1136,0,A,0.11444092,0.02861023,4,2,10,0.498,3432.1131949204055
rep2,ribo,Ara-1,ERC_00019,1,620,644,0.22177255232577017,A,29.296875,7.32421875,4,2,10,0.498,878620.9623046877
rep2,ribo,Ara-1,ERC_00022,8,727,751,1.5130562029378543,D,234.375,468.75,0.5,-1,10,0.498,7028967.698437502
rep2,ribo,Ara-1,ERC_00024,0,512,536,0,C,0.22888184,0.34332275,0.67,-0.58,10,0.498,6864.226389840811
rep2,ribo,Ara-1,ERC_00025,7,1970,1994,0.48857506451464083,B,58.59375,58.59375,1,0,10,0.498,1757241.9246093754
rep2,ribo,Ara-1,ERC_00028,0,1106,1130,0,A,3.66210938,0.91552734,4,2,10,0.498,109827.62043803725
