NAME,ASSOCIATION,EXPERIMENT,line,repl,LOCATION,POSITION,SHAPE,SHAPE.area,SHAPE.length,SHAPE.perimeter,SHAPE.width.mean,ZSCORE,volume,mutator,age
b109,0,Lenski strains,Ara-1,1,(x=38.50 y=79.05),4,1,2.6090624,2.757686,6.5891695,1.0629901,7.594229,1.6315555925925467,FALSE,young
b110,0,Lenski strains,Ara-1,1,(x=41.23 y=80.07),4,1,2.7364907,2.9822273,7.059832,0.9966776,7.326387,1.5511320066103769,FALSE,young
b111,0,Lenski strains,Ara-1,1,(x=40.30 y=3.76),4,1,2.4146707,2.7992213,6.5973086,0.9488786,7.0775332,1.3196451340433466,FALSE,young
b112,0,Lenski strains,Ara-1,1,(x=41.95 y=5.88),4,1,2.2420094,2.500183,6.0594544,0.9972088,7.046926,1.301795077038318,FALSE,young
b113,0,Lenski strains,Ara-1,1,(x=43.05 y=41.79),4,1,2.905607,3.0024962,7.115701,1.0742489,6.892098,1.8142240676748498,FALSE,young
b114,0,Lenski strains,Ara-1,1,(x=43.60 y=38.65),4,1,3.013467,3.2515771,7.5634804,1.0083859,6.844264,1.7311958702353718,FALSE,young
b115,0,Lenski strains,Ara-1,1,(x=45.69 y=110.74),4,1,3.451714,3.79802,8.646499,0.97562915,7.3260617,1.8928901232920339,FALSE,young
b116,0,Lenski strains,Ara-1,1,(x=45.43 y=108.46),4,1,3.2826922,3.7627747,8.53667,0.9294739,6.8891773,1.7020849662870057,FALSE,young
b117,0,Lenski strains,Ara-1,1,(x=48.77 y=64.42),4,1,2.8469977,2.9952927,7.092939,1.0489136,6.9964204,1.7255093749055677,FALSE,young
b118,0,Lenski strains,Ara-1,1,(x=48.88 y=61.28),4,1,2.5796633,2.9185784,6.7739816,0.98720527,6.9036684,1.4893093514898839,FALSE,young
b119,0,Lenski strains,Ara-1,1,(x=59.29 y=69.43),4,1,2.583728,2.72021,6.709248,1.0179702,7.4305787,1.4759484337173936,FALSE,young
b120,0,Lenski strains,Ara-1,1,(x=61.71 y=70.02),4,1,1.8755,2.1843243,5.550702,0.92685616,7.2149,0.9825177857751848,FALSE,young
b121,0,Lenski strains,Ara-1,1,(x=66.61 y=52.40),4,1,2.7864032,3.1452913,7.270067,0.97079825,7.168407,1.5520920183219007,FALSE,young
b122,0,Lenski strains,Ara-1,1,(x=69.56 y=53.44),4,1,2.8327234,3.1587303,7.3237853,0.9811182,6.992481,1.5920394781078062,FALSE,young
b123,0,Lenski strains,Ara-1,1,(x=106.78 y=34.45),4,1,2.353072,2.9194596,6.705623,0.8835173,6.721292,1.193249353224337,FALSE,young
b124,0,Lenski strains,Ara-1,1,(x=108.71 y=37.26),4,1,2.9503202,3.5662456,7.976249,0.90080553,6.6228313,1.5152069664078864,FALSE,young
b126,0,Lenski strains,Ara-1,1,(x=12.64 y=79.27),5,1,4.2308407,4.2544384,9.656867,1.0604312,6.5229597,2.5049891914953673,FALSE,young
b127,0,Lenski strains,Ara-1,1,(x=15.00 y=31.33),5,1,4.1902156,3.953606,9.111065,1.1486983,6.3592606,2.7315173671822848,FALSE,young
b128,0,Lenski strains,Ara-1,1,(x=20.44 y=2.48),5,1,4.01894,4.207466,9.501999,1.02132,6.2316594,2.2979623591288094,FALSE,young
b129,0,Lenski strains,Ara-1,1,(x=21.15 y=12.09),5,1,3.31566,3.5300388,8.13366,1.0159243,6.265395,1.9076592291877914,FALSE,young
